added_triples_pct_vs_source,comparison_basis,dataset,examples_with_additions,examples_with_additions_pct,examples_with_omissions,examples_with_omissions_pct,file,num_examples,omitted_triples_pct,task,total_added_triples,total_matched_source_triples,total_omitted_triples,total_predicted_predicates,total_source_triples
6.54,webnlg17_input,counterfactual,263,14.78,430,24.17,results/ordering/counterfactual_ordering.json,1779,11.33,ordering,369,5000,639,5369,5639
6.92,webnlg17_input,factual,270,15.18,458,25.74,results/ordering/factual_ordering.json,1779,12.36,ordering,390,4942,697,5332,5639
5.69,webnlg17_input,fictional,225,12.65,401,22.54,results/ordering/fictional_ordering.json,1779,10.66,ordering,321,5038,601,5359,5639
0.27,ordering_output,counterfactual,14,0.79,6,0.34,results/structuring/counterfactual_structuring.json,1779,0.12,structuring,14,5104,6,5118,5110
0.25,webnlg17_input,counterfactual,14,0.79,357,20.07,results/structuring/counterfactual_structuring.json,1779,9.49,structuring,14,5104,535,5118,5639
0.16,ordering_output,factual,8,0.45,6,0.34,results/structuring/factual_structuring.json,1779,0.12,structuring,8,5041,6,5049,5047
0.14,webnlg17_input,factual,8,0.45,387,21.75,results/structuring/factual_structuring.json,1779,10.6,structuring,8,5041,598,5049,5639
0.06,ordering_output,fictional,3,0.17,7,0.39,results/structuring/fictional_structuring.json,1779,0.14,structuring,3,5119,7,5122,5126
0.05,webnlg17_input,fictional,3,0.17,337,18.94,results/structuring/fictional_structuring.json,1779,9.22,structuring,3,5119,520,5122,5639
