n_source,FA_n_ex,FA_w_om,FA_om_rate%,FA_omit_pct%,FI_n_ex,FI_w_om,FI_om_rate%,FI_omit_pct%,CFA_n_ex,CFA_w_om,CFA_om_rate%,CFA_omit_pct%
1,369,0,0.0,0.0,369,0,0.0,0.0,369,0,0.0,0.0
2,349,31,8.9,4.4,349,21,6.0,3.0,349,23,6.6,3.3
3,350,73,20.9,9.2,350,61,17.4,7.6,350,68,19.4,8.7
4,305,95,31.1,10.7,305,82,26.9,9.8,305,87,28.5,10.1
5,213,88,41.3,13.8,213,76,35.7,12.1,213,86,40.4,12.5
6,114,53,46.5,15.1,114,48,42.1,12.4,114,48,42.1,12.6
7,79,45,57.0,15.6,79,47,59.5,15.0,79,43,54.4,13.9
TOTAL,1779,385,21.6,10.6,1779,335,18.8,9.2,1779,355,20.0,9.5
