n_source,FA_n_ex,FA_w_om,FA_om_rate%,FA_omit_pct%,FI_n_ex,FI_w_om,FI_om_rate%,FI_omit_pct%,CFA_n_ex,CFA_w_om,CFA_om_rate%,CFA_omit_pct%
1,369,0,0.0,0.0,369,0,0.0,0.0,369,0,0.0,0.0
2,349,31,8.9,4.4,349,21,6.0,3.0,349,22,6.3,3.2
3,350,72,20.6,9.1,350,61,17.4,7.6,350,67,19.1,8.6
4,305,95,31.1,10.7,305,81,26.6,9.7,305,86,28.2,10.0
5,213,88,41.3,13.7,213,76,35.7,12.0,213,86,40.4,12.4
6,114,53,46.5,14.9,114,47,41.2,12.3,114,48,42.1,12.6
7,79,45,57.0,15.6,79,47,59.5,14.8,79,43,54.4,13.9
TOTAL,1779,384,21.6,10.5,1779,333,18.7,9.1,1779,352,19.8,9.4
